trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.05039118899896,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-156.51506631707795,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-65.4255855553234,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-126.38043692755693,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-3.599242471860534,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,4,-159.49681837086956,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-7.181311430044896,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-58.60951772043015,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,4,-52.43279722345028,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-64.50644588956254,"{0: 29, 1: 2, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-74.87348175022504,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-49.55869280788479,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-95.2527138821942,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,-13.912310459514948,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-141.13429428801606,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-9.223527665779356,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-43.24541343187378,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,3,21.374214024994735,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-70.36198542701105,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,27.40622249587661,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,18,20.394787982766537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,11,16.92028671520046,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,40.29848613530318,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,14,25.38853625468152,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,7,36.44468235335012,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,6,9.534493205249266,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,12,17.275951214785287,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,10,14.74589591883046,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,12,13.41501403226037,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,17,13.311450218366032,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
