trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.10558979164244,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-104.91102288465433,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-119.28698733302257,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-94.08280770128228,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,8,-110.14205741869584,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.9277434863285529}",25,0,-125.88641636187,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-92.98849299230879,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9003245225862656}",20,0,-142.33434077154863,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-54.126825090562704,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8737159116880344}",30,9,-85.65220984145822,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-93.86937564055363,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8478937040879159}",20,0,-92.7421046813366,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-72.61968853115137,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8228346580560184}",20,0,-199.0576599198102,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-25.061083535922194,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.7985162187593771}",20,8,-49.243423720727876,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,0,-122.4646312206432,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.774916497961081}",25,0,-119.28602387343962,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-107.18912720299231,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7520142543193826}",25,0,-131.33958764929622,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-125.24016398191347,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.7297888742690568}",20,8,-37.974822882281636,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,11,-20.885650624174552,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.7082203534678}",25,0,-28.61186210047511,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.697676326071031}",25,15,-16.218767865692104,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.6872892787909722}",25,0,3.9577684423294204,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,13,-0.5254507462052274,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,0,-99.56637341077926,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-39.37445704368011,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.6472646670780347}",20,0,-32.175450431402005,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,8,-36.73258542797006,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.6281351051896409}",20,0,-48.183285494253475,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,0,-241.99569963060242,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 5}",0
34,False,"{'a': 0.5, 'e': 0.6095709072963093}",20,7,-6.624888709305985,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-97.54723529605542,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.5915553643668151}",25,0,-71.13307673102017,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-38.922986686248805,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.5740722611964361}",20,6,1.7723233764351527,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,10,-8.9653462523772,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
