trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,2,-99.01367840926716,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.03510100061715,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.83757172525077,"{0: 15, 1: 8, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.90115587691758,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.40732180864184,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.4982777871179,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,11,-9.375040157093709,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-275.1863523991086,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 6}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.6611403699046,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.04928113546582,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-166.63110834939832,"{0: 17, 1: 6, 2: 10, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.8117899398438,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.64840863037368,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-273.73410086016054,"{0: 19, 1: 3, 2: 6, 3: 3, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-120.00082947403621,"{0: 23, 1: 6, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.00809839541685,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.17282010858844,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.60757308607633,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.3018161916201,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.00110192764285,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-155.7808663546518,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.93266918663599,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.36664607187504,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.75588409093,"{0: 9, 1: 0, 2: 13, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.15555101705718,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.44583697807235,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.58779516322046,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.51232908269411,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.69521897773387,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-148.08696389918325,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
